job_id,requested_number_of_processors,execution_time,starting_time,allocated_processors
474,32,2749,268915,29 30 31 45 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 93 94
475,1,14063,271726,29
476,20,8607,273021,30 31 45 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 82 83
477,2,6,274294,84 85
478,2,16,274317,84 85
479,2,30,274326,86 87
480,2,27,274327,88 89
481,2,11,274386,84 85
482,2,18,274387,86 87
483,4,6,274464,84 85 86 87
484,4,33,274471,84 85 86 87
485,4,24,274515,84 85 86 87
486,4,29,274516,88 89 90 91
487,12,22,274560,84 85 86 87 88 89 90 91 92 93 94 95
488,12,20,274582,84 85 86 87 88 89 90 91 92 93 94 95
489,12,18,274610,84 85 86 87 88 89 90 91 92 93 94 95
490,12,13,274628,84 85 86 87 88 89 90 91 92 93 94 95
491,1,1537,280208,0
492,2,1767,281093,1 2
493,2,3555,281098,3 21
494,8,20242,297334,0 1 2 3 4 5 6 7
495,1,12,284039,0
496,1,112,284060,0
497,1,667,285360,0
